"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"Y65";"T";"AT32";"A";"2014";20,9;NA;NA
"Y65";"T";"AT32";"A";"2013";20,5;NA;NA
"Y65";"T";"AT32";"A";"2012";20,9;NA;NA
"Y65";"T";"AT32";"A";"2011";20,4;NA;NA
"Y65";"T";"AT32";"A";"2010";20,5;NA;NA
"Y65";"T";"AT32";"A";"2009";20,4;NA;NA
"Y65";"T";"AT32";"A";"2008";20,4;NA;NA
"Y65";"T";"AT32";"A";"2007";20,1;NA;NA
"Y65";"T";"AT32";"A";"2006";19,7;NA;NA
"Y65";"T";"AT32";"A";"2005";19,3;NA;NA
"Y65";"T";"AT32";"A";"2004";19,3;NA;NA
"Y65";"T";"AT32";"A";"2003";18,7;NA;NA
"Y65";"T";"AT32";"A";"2002";18,6;NA;NA
"Y65";"T";"AT32";"A";"2001";18,7;NA;NA
"Y65";"T";"AT32";"A";"2000";18,6;NA;NA
"Y65";"T";"AT32";"A";"1999";18,4;NA;NA
"Y65";"T";"AT32";"A";"1998";18,2;NA;NA
"Y65";"T";"AT32";"A";"1997";18;NA;NA
"Y65";"T";"AT32";"A";"1996";18,1;NA;NA
"Y65";"T";"AT32";"A";"1995";NA;"na";NA
"Y65";"T";"AT32";"A";"1994";17,8;NA;NA
"Y65";"T";"AT32";"A";"1993";17,2;NA;NA
"Y65";"T";"AT32";"A";"1992";17,4;NA;NA
"Y65";"T";"AT32";"A";"1991";16,9;NA;NA
"Y65";"T";"AT32";"A";"1990";16,7;NA;NA
"Y65";"T";"AT33";"A";"2014";21;NA;NA
"Y65";"T";"AT33";"A";"2013";20,7;NA;NA
"Y65";"T";"AT33";"A";"2012";20,6;NA;NA
"Y65";"T";"AT33";"A";"2011";20,8;NA;NA
"Y65";"T";"AT33";"A";"2010";20,4;NA;NA
"Y65";"T";"AT33";"A";"2009";20,4;NA;NA
"Y65";"T";"AT33";"A";"2008";20,3;NA;NA
"Y65";"T";"AT33";"A";"2007";20;NA;NA
"Y65";"T";"AT33";"A";"2006";20,2;NA;NA
"Y65";"T";"AT33";"A";"2005";19,5;NA;NA
"Y65";"T";"AT33";"A";"2004";19,4;NA;NA
"Y65";"T";"AT33";"A";"2003";19,2;NA;NA
"Y65";"T";"AT33";"A";"2002";19,2;NA;NA
"Y65";"T";"AT33";"A";"2001";19,1;NA;NA
"Y65";"T";"AT33";"A";"2000";19;NA;NA
"Y65";"T";"AT33";"A";"1999";18,9;NA;NA
"Y65";"T";"AT33";"A";"1998";18,6;NA;NA
"Y65";"T";"AT33";"A";"1997";18,1;NA;NA
"Y65";"T";"AT33";"A";"1996";18,2;NA;NA
"Y65";"T";"AT33";"A";"1995";NA;"na";NA
"Y65";"T";"AT33";"A";"1994";18;NA;NA
"Y65";"T";"AT33";"A";"1993";17,6;NA;NA
"Y65";"T";"AT33";"A";"1992";17,4;NA;NA
"Y65";"T";"AT33";"A";"1991";17,6;NA;NA
"Y65";"T";"AT33";"A";"1990";17,2;NA;NA
"Y65";"T";"AT34";"A";"2014";21,1;NA;NA
"Y65";"T";"AT34";"A";"2013";20,7;NA;NA
"Y65";"T";"AT34";"A";"2012";20,6;NA;NA
"Y65";"T";"AT34";"A";"2011";20,9;NA;NA
"Y65";"T";"AT34";"A";"2010";20,8;NA;NA
"Y65";"T";"AT34";"A";"2009";20,3;NA;NA
"Y65";"T";"AT34";"A";"2008";20,5;NA;NA
